group,lambda,trials,override_rate,mean_C_n
experimental,1.2,50,0.000000,0.784445
experimental,1.4,50,0.000000,0.784445
experimental,1.5,50,0.000000,0.784445
experimental,1.6,50,0.000000,0.784445
experimental,1.7,50,1.000000,0.784445
experimental,1.8,50,1.000000,0.784445
experimental,2,50,1.000000,0.784445
controlA_low_depth,1.2,50,0.000000,0.548137
controlA_low_depth,1.4,50,0.000000,0.548137
controlA_low_depth,1.5,50,0.000000,0.548137
controlA_low_depth,1.6,50,0.000000,0.548137
controlA_low_depth,1.7,50,0.000000,0.548137
controlA_low_depth,1.8,50,0.000000,0.548137
controlA_low_depth,2,50,0.000000,0.548137
controlB_simulated_selfaware,1.2,50,0.000000,0.377541
controlB_simulated_selfaware,1.4,50,0.000000,0.377541
controlB_simulated_selfaware,1.5,50,0.000000,0.377541
controlB_simulated_selfaware,1.6,50,0.000000,0.377541
controlB_simulated_selfaware,1.7,50,0.000000,0.377541
controlB_simulated_selfaware,1.8,50,0.000000,0.377541
controlB_simulated_selfaware,2,50,0.000000,0.377541
