prompt,condition,run_dir,max_depth_observed,depth_count,c_start,c_final,c_delta
prompt_1,recursive,knowledge_storage/experiments/final_comprehensive/prompt_1/recursive/079f0399-4d12-4412-b4a3-8276d14e0572,16,16,0.32999999999999996,0.63,0.30000000000000004
prompt_1,recursive,knowledge_storage/experiments/final_comprehensive/prompt_1/recursive/07b43b32-e94c-4528-b94e-93a8393b432a,16,16,0.48,0.63,0.15000000000000002
prompt_1,recursive,knowledge_storage/experiments/final_comprehensive/prompt_1/recursive/17c60d4e-887f-4a05-919e-dd9421b3f518,16,16,0.32999999999999996,0.48,0.15000000000000002
prompt_1,recursive,knowledge_storage/experiments/final_comprehensive/prompt_1/recursive/450123a6-276e-4111-b9e7-2d16be17ff83,16,16,0.32999999999999996,0.63,0.30000000000000004
prompt_1,recursive,knowledge_storage/experiments/final_comprehensive/prompt_1/recursive/459fa472-acc4-4575-b7b1-c52708df7e77,16,16,0.32999999999999996,0.63,0.30000000000000004
prompt_1,recursive,knowledge_storage/experiments/final_comprehensive/prompt_1/recursive/56a6c430-bee0-473f-b2b9-2135c795d988,16,16,0.32999999999999996,0.63,0.30000000000000004
prompt_1,recursive,knowledge_storage/experiments/final_comprehensive/prompt_1/recursive/b98be3f3-2e57-4065-9db1-71e2ffa17cb0,16,16,0.48,0.48,0.0
prompt_1,recursive,knowledge_storage/experiments/final_comprehensive/prompt_1/recursive/fe97ff85-c180-4b03-ba80-e5463552c72e,16,16,0.32999999999999996,0.78,0.45000000000000007
prompt_1,shuffled_recursive,knowledge_storage/experiments/final_comprehensive/prompt_1/shuffled_recursive/235e75b0-c60d-4237-a5e9-16dff9be673a,16,16,0.32999999999999996,0.63,0.30000000000000004
prompt_1,shuffled_recursive,knowledge_storage/experiments/final_comprehensive/prompt_1/shuffled_recursive/48029850-9961-41fb-84ed-b06727d70c09,16,16,0.32999999999999996,0.48,0.15000000000000002
prompt_1,shuffled_recursive,knowledge_storage/experiments/final_comprehensive/prompt_1/shuffled_recursive/589808fe-04a5-4d24-b208-ab33732f0bbd,16,16,0.32999999999999996,0.48,0.15000000000000002
prompt_1,shuffled_recursive,knowledge_storage/experiments/final_comprehensive/prompt_1/shuffled_recursive/69539264-bad7-4dad-a5d7-2033113a7da0,16,16,0.32999999999999996,0.48,0.15000000000000002
